house_id,date,date_range,time,white_goods,entertainment,air_conditioners,lighting,ev_charges,meter_reading,consumed_power
1,01-01-2024,jan_1,00:00:00,0.6699,0.0151,0.9744,0,0,67548.6594,1.6594
1,01-01-2024,jan_1,00:30:00,0.0774,0.0139,0.921,0,0,67549.6717,1.0123
1,01-01-2024,jan_1,01:00:00,0.6713,0.0153,1.0859,0,0,67551.4442,1.7725
1,01-01-2024,jan_1,01:30:00,0.6019,0.0053,0.9763,0,0,67553.0277,1.5835
1,01-01-2024,jan_1,02:00:00,0.6754,0.0153,1.0142,0,0,67554.7326,1.7049
1,01-01-2024,jan_1,02:30:00,0.6667,0.0054,0.9685,0,0,67556.3732,1.6406
1,01-01-2024,jan_1,03:00:00,0.6515,0.0045,1.0932,0,0,67558.1224,1.7492
1,01-01-2024,jan_1,03:30:00,0.5839,0.0051,0.9038,0,0,67559.6152,1.4928
1,01-01-2024,jan_1,04:00:00,0.6119,0.0047,1.0745,0,0,67561.3063,1.6911
1,01-01-2024,jan_1,04:30:00,0.5832,0.0046,0.9052,0,0,67562.7993,1.493
1,01-01-2024,jan_1,05:00:00,0.0764,0.0047,0.9546,0,0,67563.835,1.0357
1,01-01-2024,jan_1,05:30:00,0.6608,0.0146,1.0105,0,0,67565.5209,1.6859
1,01-01-2024,jan_1,06:00:00,0.6057,0.0053,0.0265,0,0,67566.1584,0.6375
1,01-01-2024,jan_1,06:30:00,0.599,0.0158,0.0271,0,0,67566.8003,0.6419
1,01-01-2024,jan_1,07:00:00,0.5825,0.0048,0.0244,0,0,67567.412,0.6117
1,01-01-2024,jan_1,07:30:00,0.6417,0.0161,0.0233,0,0,67568.0931,0.6811
1,01-01-2024,jan_1,08:00:00,0.5772,0.0046,0.0229,0,0,67568.6978,0.6047
1,01-01-2024,jan_1,08:30:00,0.0693,0.0047,0.0267,0,0,67568.7985,0.1007
1,01-01-2024,jan_1,09:00:00,0.0782,0.0048,0.0259,0,0,67568.9074,0.1089
1,01-01-2024,jan_1,09:30:00,0.0817,0.0154,0.0256,0,0,67569.0301,0.1227
1,01-01-2024,jan_1,10:00:00,0.0789,0.0973,0.0259,0,0,67569.2322,0.2021
1,01-01-2024,jan_1,10:30:00,0.6422,0.088,0.0248,0,0,67569.9872,0.755
1,01-01-2024,jan_1,11:00:00,0.074,0.0921,0.0252,0,0,67570.1785,0.1913
1,01-01-2024,jan_1,11:30:00,0.6268,0.0935,0.0246,0,0,67570.9234,0.7449
1,01-01-2024,jan_1,12:00:00,0.0768,0.0797,0.0256,0,0,67571.1055,0.1821
1,01-01-2024,jan_1,12:30:00,0.0766,0.0973,0.0247,0,0,67571.3041,0.1986
1,01-01-2024,jan_1,13:00:00,0.6175,0.0943,0.0256,0,0,67572.0415,0.7374
1,01-01-2024,jan_1,13:30:00,0.077,0.0923,0.0257,0,0,67572.2365,0.195
1,01-01-2024,jan_1,14:00:00,0.0698,0.0913,0.023,0,0,67572.4206,0.1841
1,01-01-2024,jan_1,14:30:00,0.5713,0.0858,0.025,0,0,67573.1027,0.6821
1,01-01-2024,jan_1,15:00:00,0.6343,0.0901,0.027,0,0,67573.8541,0.7514
1,01-01-2024,jan_1,15:30:00,0.0806,0.0901,0.0227,0,0,67574.0475,0.1934
1,01-01-2024,jan_1,16:00:00,0.6469,0.0923,0.0242,0,0,67574.8109,0.7634
1,01-01-2024,jan_1,16:30:00,0.6132,0.0943,0.0267,0,0,67575.5451,0.7342
1,01-01-2024,jan_1,17:00:00,0.0726,0.084,0.0264,0,0,67575.7281,0.183
1,01-01-2024,jan_1,17:30:00,0.0779,0.0976,0.0248,0,0,67575.9284,0.2003
1,01-01-2024,jan_1,18:00:00,0.6058,0.0827,0.0249,0.0419,0,67576.6837,0.7553
1,01-01-2024,jan_1,18:30:00,0.5836,0.0954,0.0273,0.0439,0,67577.4339,0.7502
1,01-01-2024,jan_1,19:00:00,0.6121,0.0915,0.0242,0.0423,0,67578.204,0.7701
1,01-01-2024,jan_1,19:30:00,0.6585,0.0929,0.0227,0.0412,0,67579.0193,0.8153
1,01-01-2024,jan_1,20:00:00,0.0702,0.0824,0.0256,0.0363,0,67579.2338,0.2145
1,01-01-2024,jan_1,20:30:00,0.6405,0.1009,0.0233,0.0382,0,67580.0367,0.8029
1,01-01-2024,jan_1,21:00:00,0.6043,0.0144,0.0242,0.041,0,67580.7206,0.6839
1,01-01-2024,jan_1,21:30:00,0.0733,0.015,0.026,0.0389,0,67580.8738,0.1532
1,01-01-2024,jan_1,22:00:00,0.0681,0.0143,0.988,0.0387,0,67581.9829,1.1091
1,01-01-2024,jan_1,22:30:00,0.0702,0.0054,1.0387,0.0397,0,67583.1369,1.154
1,01-01-2024,jan_1,23:00:00,0.5792,0.0148,0.9015,0,0,67584.6324,1.4955
1,01-01-2024,jan_1,23:30:00,0.0779,0.0152,1.0385,0,0,67585.764,1.1316
1,02-01-2024,jan_1,00:00:00,0.6164,0.0157,0.9381,0,0,67587.3342,1.5702
1,02-01-2024,jan_1,00:30:00,0.0727,0.0053,1.0903,0,0,67588.5025,1.1683
1,02-01-2024,jan_1,01:00:00,0.068,0.0051,1.0647,0,0,67589.6403,1.1378
1,02-01-2024,jan_1,01:30:00,0.0813,0.0144,1.0224,0,0,67590.7584,1.1181
1,02-01-2024,jan_1,02:00:00,0.5747,0.015,0.9544,0,0,67592.3025,1.5441
1,02-01-2024,jan_1,02:30:00,0.0734,0.0048,1.0599,0,0,67593.4406,1.1381
1,02-01-2024,jan_1,03:00:00,0.6146,0.0046,1.0522,0,0,67595.112,1.6714
1,02-01-2024,jan_1,03:30:00,0.0736,0.005,0.9732,0,0,67596.1638,1.0518
1,02-01-2024,jan_1,04:00:00,0.0796,0.016,0.9443,0,0,67597.2037,1.0399
1,02-01-2024,jan_1,04:30:00,0.5929,0.0049,1.0175,0,0,67598.819,1.6153
1,02-01-2024,jan_1,05:00:00,0.0785,0.0047,0.9099,0,0,67599.8121,0.9931
1,02-01-2024,jan_1,05:30:00,0.6253,0.0162,0.9023,0,0,67601.3559,1.5438
1,02-01-2024,jan_1,06:00:00,0.0789,0.0147,0.0228,0,0,67601.4723,0.1164
1,02-01-2024,jan_1,06:30:00,0.0708,0.0148,0.0274,0,0,67601.5853,0.113
1,02-01-2024,jan_1,07:00:00,0.6503,0.0156,0.0262,0,0,67602.2774,0.6921
1,02-01-2024,jan_1,07:30:00,0.6099,0.0055,0.0264,0,0,67602.9192,0.6418
1,02-01-2024,jan_1,08:00:00,0.628,0.0048,0.0253,0,0,67603.5773,0.6581
1,02-01-2024,jan_1,08:30:00,0.0778,0.0149,0.0267,0,0,67603.6967,0.1194
1,02-01-2024,jan_1,09:00:00,0.6178,0.0139,0.0241,0,0,67604.3525,0.6558
1,02-01-2024,jan_1,09:30:00,0.5898,0.0145,0.0239,0,0,67604.9807,0.6282
1,02-01-2024,jan_1,10:00:00,0.0753,0.0952,0.0235,0,0,67605.1747,0.194
1,02-01-2024,jan_1,10:30:00,0.6383,0.0909,0.0238,0,0,67605.9277,0.753
1,02-01-2024,jan_1,11:00:00,0.667,0.0925,0.0262,0,0,67606.7134,0.7857
1,02-01-2024,jan_1,11:30:00,0.646,0.0905,0.0257,0,0,67607.4756,0.7622
1,02-01-2024,jan_1,12:00:00,0.6226,0.084,0.0274,0,0,67608.2096,0.734
1,02-01-2024,jan_1,12:30:00,0.6114,0.0998,0.0233,0,0,67608.9441,0.7345
1,02-01-2024,jan_1,13:00:00,0.0692,0.0886,0.025,0,0,67609.1269,0.1828
1,02-01-2024,jan_1,13:30:00,0.6294,0.0996,0.0246,0,0,67609.8805,0.7536
1,02-01-2024,jan_1,14:00:00,0.6452,0.088,0.0246,0,0,67610.6383,0.7578
1,02-01-2024,jan_1,14:30:00,0.0784,0.0908,0.025,0,0,67610.8325,0.1942
1,02-01-2024,jan_1,15:00:00,0.077,0.0892,0.0244,0,0,67611.0231,0.1906
1,02-01-2024,jan_1,15:30:00,0.0727,0.0923,0.0246,0,0,67611.2127,0.1896
