house_id,date,date_range,time,white_goods,entertainment,air_conditioners,lighting,ev_charges,meter_reading,consumed_power,fridge,washing_machine,microwave,dishwasher,tv,wifi,laptop,chargers,fans,ac
1,01-01-2024,jan_1,00:00:00,0.667,0.0046,0.9171,0,0,67548.5887,1.5887,0.0679,0,0.5991,0,0,0.0046,0,0,0,0.9171
1,01-01-2024,jan_1,00:30:00,0.621,0.0046,1.0253,0,0,67550.2396,1.6509,0.0779,0,0.5431,0,0,0.0046,0,0,0,1.0253
1,01-01-2024,jan_1,01:00:00,0.5951,0.014,1.069,0,0,67551.9177,1.6781,0.0761,0,0.519,0,0,0.0045,0,0.0095,0,1.069
1,01-01-2024,jan_1,01:30:00,0.5967,0.0154,1.0954,0,0,67553.6252,1.7075,0.0807,0,0.516,0,0,0.0047,0,0.0107,0,1.0954
1,01-01-2024,jan_1,02:00:00,0.0768,0.0143,1.0583,0,0,67554.7746,1.1494,0.0768,0,0,0,0,0.0046,0,0.0097,0,1.0583
1,01-01-2024,jan_1,02:30:00,0.0817,0.0046,1.0389,0,0,67555.8998,1.1252,0.0817,0,0,0,0,0.0046,0,0,0,1.0389
1,01-01-2024,jan_1,03:00:00,0.0761,0.0144,0.9611,0,0,67556.9514,1.0516,0.0761,0,0,0,0,0.0048,0,0.0096,0,0.9611
1,01-01-2024,jan_1,03:30:00,0.0803,0.0048,0.9689,0,0,67558.0054,1.054,0.0803,0,0,0,0,0.0048,0,0,0,0.9689
1,01-01-2024,jan_1,04:00:00,0.6315,0.0154,0.9735,0,0,67559.6258,1.6204,0.0824,0,0.5491,0,0,0.0046,0,0.0108,0,0.9735
1,01-01-2024,jan_1,04:30:00,0.0807,0.005,1.0662,0,0,67560.7777,1.1519,0.0807,0,0,0,0,0.005,0,0,0,1.0662
1,01-01-2024,jan_1,05:00:00,0.0775,0.0046,1.0264,0,0,67561.8862,1.1085,0.0775,0,0,0,0,0.0046,0,0,0,1.0264
1,01-01-2024,jan_1,05:30:00,0.0751,0.0047,1.0384,0,0,67563.0044,1.1182,0.0751,0,0,0,0,0.0047,0,0,0,1.0384
1,01-01-2024,jan_1,06:00:00,0.5797,0.0046,0.0254,0,0,67563.6141,0.6097,0.0817,0,0.498,0,0,0.0046,0,0,0.0254,0
1,01-01-2024,jan_1,06:30:00,0.0748,0.0155,0.027,0,0,67563.7314,0.1173,0.0748,0,0,0,0,0.0055,0,0.01,0.027,0
1,01-01-2024,jan_1,07:00:00,0.0778,0.016,0.0268,0,0,67563.852,0.1206,0.0778,0,0,0,0,0.0054,0,0.0106,0.0268,0
1,01-01-2024,jan_1,07:30:00,0.076,0.0053,0.0253,0,0,67563.9586,0.1066,0.076,0,0,0,0,0.0053,0,0,0.0253,0
1,01-01-2024,jan_1,08:00:00,0.0714,0.0156,0.0251,0,0,67564.0707,0.1121,0.0714,0,0,0,0,0.0049,0,0.0107,0.0251,0
1,01-01-2024,jan_1,08:30:00,0.0738,0.005,0.023,0,0,67564.1725,0.1018,0.0738,0,0,0,0,0.005,0,0,0.023,0
1,01-01-2024,jan_1,09:00:00,0.0723,0.0055,0.0266,0,0,67564.2769,0.1044,0.0723,0,0,0,0,0.0055,0,0,0.0266,0
1,01-01-2024,jan_1,09:30:00,0.5777,0.0152,0.023,0,0,67564.8928,0.6159,0.0754,0,0.5023,0,0,0.0049,0,0.0103,0.023,0
1,01-01-2024,jan_1,10:00:00,0.0817,0.0971,0.024,0,0,67565.0956,0.2028,0.0817,0,0,0,0.0503,0.005,0.032,0.0098,0.024,0
