meter_reading,consumed_power,white_goods
67548.077,1.077,0.082
67549.663,1.586,0.572
67551.2918,1.6288,0.57
67552.3284,1.0366,0.0737
67553.4964,1.168,0.0728
67555.1254,1.629,0.6026
67556.1169,0.9915,0.0694
67557.1334,1.0165,0.0777
67558.1263,0.9929,0.0705
67559.7112,1.5849,0.6029
67561.2341,1.5229,0.6054
67562.8363,1.6022,0.6282
67562.9514,0.1151,0.0771
67563.0715,0.1201,0.0814
67563.7096,0.6381,0.5982
67564.341,0.6314,0.5936
67564.9833,0.6423,0.6106
67565.1001,0.1168,0.0758
67565.7545,0.6544,0.6161
67565.8514,0.0969,0.0676
67566.0487,0.1973,0.0794
67566.2518,0.2031,0.0817
67566.9906,0.7388,0.6276
67567.7046,0.714,0.5943
67568.4766,0.772,0.6567
67569.1851,0.7085,0.5983
67569.9489,0.7638,0.6529
67570.6371,0.6882,0.5734
67571.3924,0.7553,0.6372
67572.1183,0.7259,0.6105
67572.2997,0.1814,0.0729
67573.0524,0.7527,0.6254
67573.7911,0.7387,0.6159
67574.5778,0.7867,0.6722
67575.349,0.7712,0.6558
67576.0704,0.7214,0.614
67576.3103,0.2399,0.0781
67577.074,0.7637,0.61
67577.3067,0.2327,0.0704
67578.1032,0.7965,0.636
67578.9368,0.8336,0.6781
67579.7452,0.8084,0.645
67579.888,0.1428,0.072
67580.6242,0.7362,0.6571
67581.7513,1.1271,0.0765
67583.3523,1.601,0.6469
67585.0206,1.6683,0.5776
67586.6618,1.6412,0.5771
67587.6793,1.0175,0.0689
67588.8611,1.1818,0.0817
67590.5585,1.6974,0.6249
67592.1459,1.5874,0.5707
67593.7767,1.6308,0.5864
67595.3283,1.5516,0.5854
67596.3995,1.0712,0.0717
67597.4802,1.0807,0.0764
67599.1981,1.7179,0.6244
67600.2167,1.0186,0.0744
67601.8534,1.6367,0.6543
67603.0147,1.1613,0.074
67603.1278,0.1131,0.0725
67603.2296,0.1018,0.0707
67603.3338,0.1042,0.0726
67603.4412,0.1074,0.0759
67603.549,0.1078,0.0774
67603.6638,0.1148,0.0731
67603.7846,0.1208,0.0794
67603.895,0.1104,0.0676
67604.5916,0.6966,0.5842
67605.3129,0.7213,0.6054
67606.0424,0.7295,0.6113
67606.8385,0.7961,0.6742
67607.62,0.7815,0.6685
67607.7968,0.1768,0.0734
67608.5554,0.7586,0.646
67608.7466,0.1912,0.0756
67608.9441,0.1975,0.0763
67609.1398,0.1957,0.0757
67609.3222,0.1824,0.0743
67609.5009,0.1787,0.0706
67609.6878,0.1869,0.0697
67609.8711,0.1833,0.0678
67610.5612,0.6901,0.5697
67611.3196,0.7584,0.6316
67612.1103,0.7907,0.6431
67612.3316,0.2213,0.0752
67612.5595,0.2279,0.0707
67612.7971,0.2376,0.0776
67613.5572,0.7601,0.6077
67613.7994,0.2422,0.0822
67614.5029,0.7035,0.6232
67615.232,0.7291,0.659
67616.425,1.193,0.0813
67618.1192,1.6942,0.6694
67619.2826,1.1634,0.0698
67621.0323,1.7497,0.6608
67622.1832,1.1509,0.0686
67623.2073,1.0241,0.0754
67624.8749,1.6676,0.5709
67625.8731,0.9982,0.0726
67627.5409,1.6678,0.5764
67629.2221,1.6812,0.6222
67630.2879,1.0658,0.0679
67631.3872,1.0993,0.072
67632.4279,1.0407,0.0718
67633.9982,1.5703,0.6549
67635.1422,1.144,0.0817
67636.7095,1.5673,0.6504
67637.3356,0.6261,0.5965
67637.4462,0.1106,0.0802
67638.1191,0.6729,0.6445
67638.2344,0.1153,0.077
67638.9508,0.7164,0.6768
67639.6194,0.6686,0.6397
67640.27,0.6506,0.6198
67640.9103,0.6403,0.611
67641.0913,0.181,0.0752
67641.2888,0.1975,0.0778
67641.4826,0.1938,0.08
67642.2364,0.7538,0.6455
67643.0067,0.7703,0.6597
67643.7427,0.736,0.6281
67643.9324,0.1897,0.0783
67644.1216,0.1892,0.0813
67644.3095,0.1879,0.072
67645.0209,0.7114,0.5937
67645.2192,0.1983,0.0783
67645.9544,0.7352,0.6281
67646.1478,0.1934,0.0782
67646.891,0.7432,0.6276
67647.6741,0.7831,0.6612
67647.8591,0.185,0.0786
67648.6375,0.7784,0.6107
67649.4118,0.7743,0.6207
67649.6381,0.2263,0.0692
67650.4143,0.7762,0.614
67651.1888,0.7745,0.6265
67652.01,0.8212,0.6646
67652.1597,0.1497,0.0787
67652.3222,0.1625,0.0811
67653.3853,1.0631,0.0675
67654.9677,1.5824,0.6069
67656.5574,1.5897,0.6171
67657.6239,1.0665,0.0719
67658.6924,1.0685,0.0699
67660.322,1.6296,0.5987
67661.8768,1.5548,0.6147
67663.4251,1.5483,0.5969
67665.1059,1.6808,0.5898
67666.1576,1.0517,0.0677
67667.2391,1.0815,0.0703
67668.8489,1.6098,0.6221
67670.4574,1.6085,0.6429
67672.0711,1.6137,0.6437
67673.1074,1.0363,0.0822
67674.7049,1.5975,0.6645
67675.3784,0.6735,0.6336
67676.0749,0.6965,0.665
67676.1861,0.1112,0.0701
67676.8279,0.6418,0.6144
67677.4831,0.6552,0.6268
67677.5984,0.1153,0.0756
67677.7057,0.1073,0.0774
67678.4089,0.7032,0.6611
67679.1934,0.7845,0.6695
67679.9015,0.7081,0.6042
67680.6602,0.7587,0.6446
67680.8401,0.1799,0.072
67681.0421,0.202,0.0807
67681.2416,0.1995,0.0807
67681.4303,0.1887,0.0752
67681.6183,0.188,0.0732
67682.3428,0.7245,0.6145
67683.0491,0.7063,0.6015
67683.7642,0.7151,0.6009
67684.4679,0.7037,0.5935
67684.65,0.1821,0.0734
67685.3478,0.6978,0.5858
67686.0891,0.7413,0.6264
67686.2802,0.1911,0.0769
67686.5136,0.2334,0.0677
67686.7495,0.2359,0.0711
67687.5026,0.7531,0.597
67688.3153,0.8127,0.6631
67688.5407,0.2254,0.074
67689.3715,0.8308,0.6765
67690.0638,0.6923,0.6153
67690.2209,0.1571,0.0742
67691.3603,1.1394,0.0797
67692.4409,1.0806,0.0816
67693.4702,1.0293,0.0688
67694.4684,0.9982,0.0725
67696.0686,1.6002,0.6247
67697.6573,1.5887,0.5756
67699.2426,1.5853,0.5773
67700.7599,1.5173,0.5981
67701.9483,1.1884,0.0774
67703.0245,1.0762,0.0748
67704.1035,1.079,0.0738
67705.7378,1.6343,0.6046
67706.8507,1.1129,0.0824
67707.9824,1.1317,0.0813
67709.0607,1.0783,0.0743
67710.0967,1.036,0.0776
67710.7873,0.6906,0.6617
67711.4913,0.704,0.6622
67711.6012,0.1099,0.0683
67712.2464,0.6452,0.605
67712.3624,0.116,0.0728
67713.0425,0.6801,0.6509
67713.6563,0.6138,0.5838
67714.3255,0.6692,0.6283
67715.0244,0.6989,0.5813
67715.7566,0.7322,0.6156
67716.4421,0.6855,0.5732
67717.1431,0.701,0.5886
67717.8904,0.7473,0.6289
67718.0897,0.1993,0.0793
67718.8387,0.749,0.6229
67719.0321,0.1934,0.0767
67719.7079,0.6758,0.5675
67720.4492,0.7413,0.6216
67720.6416,0.1924,0.0803
67720.8284,0.1868,0.0764
67721.0267,0.1983,0.0776
67721.2144,0.1877,0.0715
67721.9501,0.7357,0.6288
67722.1568,0.2067,0.0808
67722.8991,0.7423,0.5864
67723.1437,0.2446,0.0798
67723.3749,0.2312,0.0762
67723.6158,0.2409,0.0822
67724.3734,0.7576,0.5914
67725.1888,0.8154,0.6701
67725.8411,0.6523,0.583
67726.5536,0.7125,0.6361
67728.2496,1.696,0.598
67729.818,1.5684,0.5933
67731.5377,1.7197,0.6172
67733.2323,1.6946,0.6629
67734.7643,1.532,0.5695
67736.2949,1.5306,0.5823
67737.9786,1.6837,0.6743
67739.0626,1.084,0.0761
67740.6659,1.6033,0.663
67742.3497,1.6838,0.5848
67744.0741,1.7244,0.6586
67745.81,1.7359,0.6539
67746.9441,1.1341,0.073
67747.9966,1.0525,0.0815
67749.5791,1.5825,0.6404
67751.2634,1.6843,0.6347
67751.9843,0.7209,0.6795
67752.6197,0.6354,0.6071
67753.331,0.7113,0.6687
67753.4407,0.1097,0.07
67754.0397,0.599,0.5711
67754.6991,0.6594,0.6274
67755.3791,0.68,0.6523
67755.9957,0.6166,0.5771
67756.1895,0.1938,0.0775
