date,time,house_id,Consumed_kv,meter_reading,location,entertainment,white_goods,lighting,air_conditioners,EV_items
2025-04-04,08:30:31,23b8c1e9,4.4,5460.9,Lake Joyside,0.14,1.46,0.35,0.61,1.84
2025-03-05,03:16:38,3b8faa18,0.89,4249.42,New Jamesside,0.06,0.0,0.13,0.7,0.0
2025-03-23,11:43:09,01a9e71f,5.0,5029.1,Lake Roberto,0.41,1.32,0.63,2.62,0.02
2025-03-16,12:28:29,17be3111,6.12,1463.73,Davisstad,0.58,1.55,0.24,2.91,0.84
2025-04-02,10:06:30,1ff49b78,4.92,5865.58,Millerport,1.29,0.65,0.64,0.52,1.82
2025-04-14,11:51:09,3139d32c,7.18,3886.76,North Donnaport,0.87,1.07,0.85,2.24,2.15
2025-04-23,02:42:02,47294739,1.06,2389.87,Reidstad,0.15,0.0,0.31,0.6,0.0
2025-03-09,10:02:04,efc89849,3.92,4240.18,New Cynthiaside,0.61,1.45,0.43,0.76,0.67
2025-04-09,15:03:13,ece66fa2,4.79,5947.62,Lake Mark,0.34,1.41,0.76,1.33,0.95
2025-04-11,06:05:08,50c187fc,1.26,2338.7,Adamsborough,0.15,0.0,0.72,0.39,0.0
2025-04-19,03:36:09,a7cad415,2.53,3294.26,Fostermouth,0.23,0.0,0.89,1.41,0.0
2025-03-08,07:10:19,434308bc,4.16,2997.0,Hurstfurt,0.45,0.9,0.61,0.74,1.46
2025-03-20,10:54:47,1745d6d8,3.28,4137.23,Port Danielburgh,1.5,0.83,0.56,0.27,0.12
2025-04-12,22:45:44,988c24c9,1.92,5303.9,Riceside,0.29,0.0,0.16,1.47,0.0
2025-04-16,23:30:42,e2817efd,1.66,3173.83,Kaylamouth,0.34,0.0,0.71,0.61,0.0
2025-03-07,15:27:51,b8db0672,6.29,1893.26,Teresaburgh,1.44,1.18,0.89,1.53,1.25
2025-03-28,01:59:03,a39231a7,1.75,3696.9,East Nathaniel,0.12,0.0,0.37,1.26,0.0
2025-03-09,22:16:50,00257ad1,1.95,5158.33,Tracyville,0.47,0.0,0.1,1.38,0.0
