date,time,house_id,Consumed_kv,meter_reading,location,entertainment,white_goods,lighting,air_conditioners,EV_items
2024-12-14,07:19:41,23b8c1e9,5.18,4383.5,Lake Joyside,1.0,0.54,0.35,1.45,1.84
2024-05-25,07:21:37,3b8faa18,4.07,3526.78,New Jamesside,1.35,0.63,0.48,1.06,0.55
2024-09-24,14:30:51,01a9e71f,4.26,3946.33,Lake Roberto,0.14,0.8,0.68,2.09,0.55
2024-08-03,02:18:39,17be3111,5.82,1777.4,Davisstad,1.23,0.51,0.83,2.4,0.85
2024-11-30,20:00:29,1ff49b78,5.93,4018.63,Millerport,1.44,1.0,0.18,1.19,2.12
2025-02-21,06:39:19,3139d32c,7.3,3760.2,North Donnaport,1.23,1.59,0.58,2.95,0.95
2025-04-19,10:19:32,47294739,7.48,1229.12,Reidstad,1.26,1.43,0.88,2.15,1.76
2024-06-22,17:15:51,efc89849,3.24,2389.87,New Cynthiaside,0.42,0.93,0.17,1.47,0.25
2025-01-15,07:20:25,ece66fa2,4.56,5683.27,Lake Mark,0.99,1.05,0.43,1.42,0.67
2025-01-30,03:26:42,50c187fc,5.54,2897.28,Adamsborough,1.01,1.41,0.25,2.46,0.41
2025-03-24,00:49:44,a7cad415,8.03,4880.0,Fostermouth,1.49,1.46,0.6,2.37,2.11
2024-06-15,00:34:51,434308bc,3.42,5714.55,Hurstfurt,0.42,0.55,0.38,1.54,0.53
2024-09-03,11:50:05,1745d6d8,7.07,3294.26,Port Danielburgh,1.33,0.97,0.69,1.79,2.29
2025-02-07,02:50:03,988c24c9,4.94,5489.11,Riceside,0.47,0.87,0.61,1.53,1.46
2025-03-05,22:58:11,e2817efd,4.74,1235.58,Kaylamouth,0.66,0.83,1.0,2.02,0.23
2024-06-03,18:56:29,b8db0672,4.5,2908.1,Teresaburgh,0.25,1.44,0.81,1.84,0.16
2024-10-26,20:57:40,a39231a7,6.5,4603.61,East Nathaniel,1.49,1.29,0.97,2.72,0.03
2024-06-22,01:16:15,00257ad1,5.26,3173.83,Tracyville,1.05,1.31,0.34,2.28,0.28
2025-03-30,06:38:20,3d4cbf37,6.34,1893.26,East Natalieland,0.74,1.93,0.89,1.53,1.25
2024-05-25,17:15:15,885f6e66,7.36,1764.2,East Donna,1.38,1.81,0.37,2.28,1.52
2025-04-05,03:30:24,6c52c49f,5.34,2620.78,New Karina,1.17,1.31,0.8,2.06,0.0
2025-01-01,01:55:22,a65e688e,6.34,1289.63,Samuelhaven,0.13,1.89,0.89,2.66,0.77
2024-10-06,13:35:43,969b6662,5.57,4803.01,New Jeffrey,1.33,1.92,0.18,1.97,0.17
2024-05-19,12:03:24,080aadfb,5.15,5362.17,Chadbury,1.17,0.69,0.53,2.1,0.66
2024-08-03,01:58:41,ef7ddc76,5.06,2558.58,Sanchezfort,0.69,0.82,0.59,2.46,0.5
2025-02-13,22:49:14,5ab33edf,5.79,2123.49,Jenkinston,1.49,1.47,0.49,2.04,0.3
2024-12-26,14:28:46,ba6c34ab,3.88,4155.51,Laurenville,0.57,1.38,0.31,1.44,0.18
2024-07-24,21:21:21,2ef91276,4.89,4344.89,Stevenland,0.42,1.86,0.87,1.14,0.6
2024-10-03,06:51:01,a6f2f7b8,5.36,4923.1,North Sarabury,0.4,0.7,0.94,2.14,1.18
2024-06-23,15:51:56,e7067ef4,5.13,3335.12,East Nicholasfurt,1.23,0.79,0.19,1.86,1.06
2024-07-30,23:42:01,b253d218,5.83,2696.51,Mooreport,1.12,1.51,0.99,1.2,1.01
2024-07-12,13:38:35,bf7b539b,5.4,2392.73,Brianshire,1.31,0.87,0.27,1.9,1.05
2024-10-15,20:35:27,f5f59b22,6.93,1252.94,Port Jacobland,0.45,1.88,0.5,2.72,1.38
2024-12-27,22:43:42,91d63f78,9.19,1831.56,New Brooke,1.5,1.75,0.97,2.85,2.12
2024-12-06,19:40:24,50fd9d3f,4.13,5926.54,Jamesmouth,0.78,0.82,0.46,1.12,0.95
2024-07-20,06:25:54,750cab75,6.9,5977.11,Sarahland,0.47,1.68,0.51,1.85,2.39
2024-04-27,14:30:34,12c136e0,6.71,3895.9,New Joseph,0.88,1.58,0.24,1.59,2.42
2025-03-31,13:24:18,48f4ef12,6.06,5263.6,South Martha,0.86,1.62,0.15,2.17,1.26
2025-01-06,01:04:55,8768a84f,5.29,4376.06,Lake Lisaport,0.32,1.94,0.17,1.37,1.49
2025-03-31,19:29:29,1d8cbbac,4.99,4096.91,Lake Angelaview,0.43,0.68,0.9,1.49,1.49
2024-08-05,11:03:35,a25d6b29,6.02,4580.96,Williamview,0.69,1.38,0.57,2.87,0.51
2025-03-21,06:35:45,d450281c,4.61,4759.32,Bradleymouth,0.43,1.09,0.7,1.6,0.79
2025-01-31,22:24:59,711c21c9,5.56,2065.77,Hoffmanville,0.2,1.19,1.0,2.99,0.18
2024-05-21,20:37:22,093923de,6.94,1788.73,Brandiberg,0.47,1.9,0.89,2.76,0.92
2024-09-28,02:09:57,cbceabde,8.08,1039.12,West Jasonbury,1.27,1.56,0.65,2.97,1.63
2024-12-24,13:17:46,6808593f,6.11,1577.14,East Michelle,1.24,0.95,0.7,2.88,0.34
2025-04-16,10:39:33,2dea9493,5.93,2017.99,Kimberlychester,0.25,1.33,0.35,2.21,1.79
2025-02-11,03:16:29,28c13091,7.36,1461.49,South Monicafort,0.99,0.9,0.54,2.81,2.12
2024-07-14,22:12:26,d20eac17,5.84,2309.78,East Andrew,0.69,0.92,0.1,2.54,1.59
2024-07-03,01:08:23,c5f8bc16,4.16,5415.53,Michaelhaven,1.14,1.33,0.48,1.02,0.19
